episode,reward,task_energy,transmission_energy,movement_energy,steps,uav_0_delay,uav_1_delay
170,-19.3621,34.7031,3.0784,71885.5108,20,37.015959,33.465904
171,-19.5271,34.572,3.2125,71986.6884,20,35.50976,36.292575
172,-19.567,34.5439,3.2167,72095.0882,20,37.165029,35.027059
173,-19.6249,34.6641,3.2454,71989.7608,20,36.095172,36.214058
174,-19.6168,34.5828,3.2724,71989.5493,20,35.992368,36.368332
175,-19.2947,34.5154,2.888,71830.4975,20,53.163601,17.734606
176,-19.1972,34.5203,2.7575,71659.3833,20,48.124767,22.309268
177,-19.3446,34.6323,2.8938,71638.4367,20,54.651748,16.367883
178,-19.235,34.5692,2.8418,71643.57,20,54.24926,16.14969
179,-19.1551,34.5386,2.7514,71571.2521,20,48.005405,22.049769
180,-19.2198,34.6217,2.7673,71487.4548,20,48.168583,22.184856
181,-19.1632,34.5201,2.7135,71619.9424,20,45.215115,25.057975
182,-19.0776,34.4262,2.7245,71853.9385,20,44.889592,24.86129
183,-18.8775,34.1184,2.7019,71831.0233,20,43.230525,25.644472
184,-18.8863,34.1974,2.6971,71792.6328,20,44.00524,24.767751
185,-18.6629,34.0781,2.6479,71957.5633,20,40.913446,26.411715
186,-18.7505,34.191,2.7416,72311.4016,20,36.726955,30.800622
187,-18.9238,34.3283,2.755,72298.9055,20,37.190731,31.421007
188,-19.1445,34.6038,2.8044,72166.8959,20,36.869296,32.793339
189,-19.2361,34.7635,2.8159,71706.5109,20,36.11485,33.900785
190,-19.0405,34.5385,2.7917,72052.702,20,36.74744,32.236576
191,-18.9172,34.3749,2.6884,72103.5986,20,42.005733,26.625294
192,-18.8261,34.1666,2.6841,72116.1503,20,42.668013,25.711115
193,-18.927,34.327,2.6984,72062.6104,20,44.119816,24.680151
194,-18.9325,34.3107,2.7263,71742.5736,20,43.220744,25.586173
195,-18.9141,34.332,2.7055,71999.4028,20,41.84229,26.81797
196,-18.9316,34.3518,2.6872,71922.5824,20,42.759114,26.051068
197,-19.3706,34.9856,2.8929,71922.7523,20,37.525138,32.870593
198,-19.0149,34.3195,2.7241,72079.4279,20,43.521767,25.96001
199,-18.9244,34.328,2.7102,72186.3582,20,42.413502,26.329556
200,-18.9745,34.361,2.723,72100.1621,20,44.333889,24.71403
201,-18.9587,34.217,2.7675,71776.058,20,42.123367,27.012463
202,-19.0608,34.4745,2.8345,72019.9881,20,36.826313,32.360594
203,-19.0117,34.4709,2.7188,72019.6324,20,42.56179,26.545653
204,-19.0638,34.4647,2.8389,72035.6489,20,37.08846,32.135381
205,-19.1668,34.7566,2.7602,71991.3714,20,38.241393,31.365436
206,-19.0524,34.6019,2.7147,71887.3108,20,43.091582,26.055331
207,-18.9965,34.5177,2.7297,72026.3705,20,40.285454,28.552891
208,-19.6442,35.1855,3.0416,72052.3585,20,33.181688,38.610967
209,-19.106,34.7033,2.7559,72191.9681,20,37.27844,31.959333
210,-19.0321,34.4146,2.7538,72171.2048,20,42.708016,26.607291
211,-18.9803,34.3618,2.711,72085.1813,20,42.399911,26.727304
212,-19.0151,34.3508,2.7861,72077.7626,20,42.492924,26.742487
213,-19.6737,34.9924,3.1337,72338.7104,20,31.925419,40.318368
214,-19.5829,34.9345,3.0584,72602.3267,20,29.870219,41.962643
215,-19.143,34.6064,2.857,72599.9882,20,36.333311,33.16359
216,-18.9353,34.3994,2.7705,72678.6979,20,41.138364,27.356872
217,-19.1221,34.6766,2.7648,72583.0231,20,41.399703,28.011739
218,-18.9495,34.4188,2.7651,72578.3822,20,40.862268,27.720657
219,-19.1007,34.5613,2.814,72536.9464,20,38.25026,31.120898
220,-19.005,34.3852,2.8568,72566.5557,20,36.646144,32.22568
221,-19.083,34.5424,2.8961,72722.9908,20,36.569879,32.468485
222,-19.2645,34.6719,2.9496,72498.3981,20,41.107151,28.992286
223,-19.1122,34.6734,2.7687,72505.9446,20,40.080357,29.244885
224,-19.1211,34.5033,2.7796,72687.5768,20,44.79817,24.978312
225,-19.0207,34.3471,2.8069,72643.2336,20,40.906614,28.326415
226,-19.0053,34.2574,2.8091,72673.7333,20,40.650648,28.662542
227,-19.406,34.5659,3.0309,72662.2378,20,47.809245,23.501237
228,-19.5171,34.6427,3.1444,72556.489,20,49.427994,22.311578
229,-19.4621,34.5124,3.1163,72630.2566,20,46.30676,25.362569
230,-18.8277,34.192,2.7403,72616.0387,20,39.881037,28.293306
231,-19.2829,34.7165,2.9597,72568.1771,20,46.38235,23.736229
232,-19.4025,34.9863,2.9639,72558.4175,20,50.796849,19.66545
233,-19.2362,34.8207,2.8763,72591.6801,20,54.9794,14.731769
234,-19.1877,34.4722,2.8492,72611.0208,20,47.688241,22.525568
235,-19.2115,34.5521,2.8026,72562.8022,20,41.739475,28.612943
236,-19.1426,34.7313,2.7318,72479.7112,20,42.623389,26.921378
237,-19.2872,34.5833,2.9594,72681.6192,20,38.559904,31.913882
238,-19.0849,34.5821,2.7888,72659.8679,20,41.380504,27.87857
239,-19.7234,34.7726,3.2315,72608.9199,20,40.548838,32.363674
240,-20.15,34.9273,3.6741,72549.2786,20,31.824761,43.054015
241,-19.2628,34.6529,2.9617,72668.977,20,43.380183,26.716524
242,-19.1598,34.6132,2.7749,72614.8385,20,43.158578,26.692375
243,-19.3142,34.8354,2.8178,72545.1105,20,40.738432,29.753798
244,-19.064,34.5023,2.7503,72390.9461,20,42.110448,27.272703
245,-19.0716,34.5373,2.7384,72448.6757,20,43.903319,25.492498
246,-18.8669,34.2636,2.6961,72276.0773,20,44.278288,24.176685
247,-18.8834,34.2261,2.7304,72476.8791,20,42.002937,26.583797
